fecha,ciudad,anio,mes,dia_semana_num,dia_semana,fin_de_semana,payday_flag,rebajas_flag,black_friday_flag,navidad_flag,semana_santa_flag,vacaciones_escolares_flag,festivo_local_flag,temperatura_media_c,lluvia_indice,turismo_indice,incidencia_ecommerce_flag
2020-01-01,Madrid,2020,1,2,Miercoles,0,1,0,0,0,0,0,0,4.2,62.2,30.8,0
2020-01-01,Barcelona,2020,1,2,Miercoles,0,1,0,0,0,0,0,0,12.0,63.3,21.9,0
2020-01-01,Valencia,2020,1,2,Miercoles,0,1,0,0,0,0,0,0,9.6,43.8,15.9,0
2020-01-01,Sevilla,2020,1,2,Miercoles,0,1,0,0,0,0,0,0,13.7,53.3,20.8,0
2020-01-01,Malaga,2020,1,2,Miercoles,0,1,0,0,0,0,0,0,15.4,55.7,52.2,0
2020-01-01,Zaragoza,2020,1,2,Miercoles,0,1,0,0,0,0,0,0,0.9,48.2,6.4,0
2020-01-01,Bilbao,2020,1,2,Miercoles,0,1,0,0,0,0,0,0,9.9,77.3,0.0,0
2020-01-01,Murcia,2020,1,2,Miercoles,0,1,0,0,0,0,0,0,12.1,72.5,26.5,0
2020-01-01,Palma,2020,1,2,Miercoles,0,1,0,0,0,0,0,0,10.6,56.8,54.6,0
2020-01-01,A Coruna,2020,1,2,Miercoles,0,1,0,0,0,0,0,0,8.3,78.7,25.7,0
2020-01-02,Madrid,2020,1,3,Jueves,0,1,0,0,0,0,0,0,7.3,76.3,38.0,0
2020-01-02,Barcelona,2020,1,3,Jueves,0,1,0,0,0,0,0,0,13.9,42.0,54.1,0
2020-01-02,Valencia,2020,1,3,Jueves,0,1,0,0,0,0,0,0,5.3,54.0,34.8,0
2020-01-02,Sevilla,2020,1,3,Jueves,0,1,0,0,0,0,0,0,10.4,56.6,43.8,0
2020-01-02,Malaga,2020,1,3,Jueves,0,1,0,0,0,0,0,0,10.0,39.8,44.1,0
2020-01-02,Zaragoza,2020,1,3,Jueves,0,1,0,0,0,0,0,0,0.7,65.6,30.8,0
2020-01-02,Bilbao,2020,1,3,Jueves,0,1,0,0,0,0,0,0,10.9,73.3,11.4,0
2020-01-02,Murcia,2020,1,3,Jueves,0,1,0,0,0,0,0,0,8.8,47.3,26.3,0
2020-01-02,Palma,2020,1,3,Jueves,0,1,0,0,0,0,0,0,8.7,45.9,21.8,0
2020-01-02,A Coruna,2020,1,3,Jueves,0,1,0,0,0,0,0,0,13.0,88.5,13.3,0
2020-01-03,Madrid,2020,1,4,Viernes,0,1,0,0,0,0,0,0,6.9,49.0,32.2,0
2020-01-03,Barcelona,2020,1,4,Viernes,0,1,0,0,0,0,0,0,7.9,37.1,28.6,0
2020-01-03,Valencia,2020,1,4,Viernes,0,1,0,0,0,0,0,0,3.9,43.8,33.5,0
2020-01-03,Sevilla,2020,1,4,Viernes,0,1,0,0,0,0,0,0,14.6,66.3,23.8,0
2020-01-03,Malaga,2020,1,4,Viernes,0,1,0,0,0,0,0,0,12.0,53.5,64.5,0
2020-01-03,Zaragoza,2020,1,4,Viernes,0,1,0,0,0,0,0,0,7.9,49.8,0.0,0
2020-01-03,Bilbao,2020,1,4,Viernes,0,1,0,0,0,0,0,0,7.3,78.4,22.1,0
2020-01-03,Murcia,2020,1,4,Viernes,0,1,0,0,0,0,0,0,4.8,41.3,34.7,0
2020-01-03,Palma,2020,1,4,Viernes,0,1,0,0,0,0,0,0,5.9,47.5,34.5,0
2020-01-03,A Coruna,2020,1,4,Viernes,0,1,0,0,0,0,0,0,6.8,77.2,45.0,0
2020-01-04,Madrid,2020,1,5,Sabado,1,1,0,0,0,0,0,0,5.4,66.4,41.3,0
2020-01-04,Barcelona,2020,1,5,Sabado,1,1,0,0,0,0,0,0,8.3,53.2,31.8,0
2020-01-04,Valencia,2020,1,5,Sabado,1,1,0,0,0,0,0,0,11.7,65.5,29.4,0
2020-01-04,Sevilla,2020,1,5,Sabado,1,1,0,0,0,0,0,0,9.1,43.1,28.9,0
2020-01-04,Malaga,2020,1,5,Sabado,1,1,0,0,0,0,0,0,12.2,35.0,44.9,0
2020-01-04,Zaragoza,2020,1,5,Sabado,1,1,0,0,0,0,0,0,0.8,39.9,16.0,0
2020-01-04,Bilbao,2020,1,5,Sabado,1,1,0,0,0,0,0,0,6.2,72.5,9.4,0
2020-01-04,Murcia,2020,1,5,Sabado,1,1,0,0,0,0,0,0,13.3,66.1,0.0,0
2020-01-04,Palma,2020,1,5,Sabado,1,1,0,0,0,0,0,0,11.9,40.7,43.4,0
2020-01-04,A Coruna,2020,1,5,Sabado,1,1,0,0,0,0,0,0,7.8,71.3,1.2,0
2020-01-05,Madrid,2020,1,6,Domingo,1,1,0,0,0,0,0,0,6.4,39.3,41.5,0
2020-01-05,Barcelona,2020,1,6,Domingo,1,1,0,0,0,0,0,0,12.5,47.6,42.4,0
2020-01-05,Valencia,2020,1,6,Domingo,1,1,0,0,0,0,0,0,9.1,58.9,15.5,1
2020-01-05,Sevilla,2020,1,6,Domingo,1,1,0,0,0,0,0,0,12.6,61.0,13.1,0
2020-01-05,Malaga,2020,1,6,Domingo,1,1,0,0,0,0,0,0,13.6,64.2,49.8,0
2020-01-05,Zaragoza,2020,1,6,Domingo,1,1,0,0,0,0,0,0,3.6,41.8,14.9,0
2020-01-05,Bilbao,2020,1,6,Domingo,1,1,0,0,0,0,0,0,4.9,63.9,17.9,0
