semana_inicio,semana_fin,anio,semana_iso,ciudad,canal_medio,tipo_medio,inversion_eur,objetivo_principal
2020-01-06,2020-01-12,2020,2,Madrid,Paid Search,Online,6661.67,Trafico tienda
2020-01-06,2020-01-12,2020,2,Madrid,Social Paid,Online,5449.4,Trafico tienda
2020-01-06,2020-01-12,2020,2,Madrid,Video Online,Online,3560.13,Captacion
2020-01-06,2020-01-12,2020,2,Madrid,Display,Online,1051.25,Trafico tienda
2020-01-06,2020-01-12,2020,2,Madrid,Email CRM,Online,1537.9,Notoriedad
2020-01-06,2020-01-12,2020,2,Madrid,Radio Local,Offline,3719.86,Notoriedad
2020-01-06,2020-01-12,2020,2,Madrid,Exterior,Offline,2160.18,Trafico tienda
2020-01-06,2020-01-12,2020,2,Madrid,Prensa,Offline,1530.65,Captacion
2020-01-06,2020-01-12,2020,2,Barcelona,Paid Search,Online,3894.21,Click&Collect
2020-01-06,2020-01-12,2020,2,Barcelona,Social Paid,Online,4801.56,Captacion
2020-01-06,2020-01-12,2020,2,Barcelona,Video Online,Online,4916.15,Click&Collect
2020-01-06,2020-01-12,2020,2,Barcelona,Display,Online,1748.4,Trafico tienda
2020-01-06,2020-01-12,2020,2,Barcelona,Email CRM,Online,267.81,Trafico tienda
2020-01-06,2020-01-12,2020,2,Barcelona,Radio Local,Offline,3420.61,Trafico tienda
2020-01-06,2020-01-12,2020,2,Barcelona,Exterior,Offline,2797.06,Click&Collect
2020-01-06,2020-01-12,2020,2,Barcelona,Prensa,Offline,2216.74,Captacion
2020-01-06,2020-01-12,2020,2,Valencia,Paid Search,Online,3370.74,Click&Collect
2020-01-06,2020-01-12,2020,2,Valencia,Social Paid,Online,2201.67,Click&Collect
2020-01-06,2020-01-12,2020,2,Valencia,Video Online,Online,4173.94,Performance
2020-01-06,2020-01-12,2020,2,Valencia,Display,Online,929.97,Captacion
2020-01-06,2020-01-12,2020,2,Valencia,Email CRM,Online,1242.69,Notoriedad
2020-01-06,2020-01-12,2020,2,Valencia,Radio Local,Offline,1745.79,Notoriedad
2020-01-06,2020-01-12,2020,2,Valencia,Exterior,Offline,2597.64,Notoriedad
2020-01-06,2020-01-12,2020,2,Valencia,Prensa,Offline,1760.27,Click&Collect
2020-01-06,2020-01-12,2020,2,Sevilla,Paid Search,Online,3566.99,Remarketing
2020-01-06,2020-01-12,2020,2,Sevilla,Social Paid,Online,2457.7,Performance
2020-01-06,2020-01-12,2020,2,Sevilla,Video Online,Online,2341.34,Click&Collect
2020-01-06,2020-01-12,2020,2,Sevilla,Display,Online,1782.71,Performance
2020-01-06,2020-01-12,2020,2,Sevilla,Email CRM,Online,740.14,Notoriedad
2020-01-06,2020-01-12,2020,2,Sevilla,Radio Local,Offline,1669.94,Captacion
2020-01-06,2020-01-12,2020,2,Sevilla,Exterior,Offline,1983.18,Click&Collect
2020-01-06,2020-01-12,2020,2,Sevilla,Prensa,Offline,946.95,Captacion
2020-01-06,2020-01-12,2020,2,Malaga,Paid Search,Online,3560.01,Notoriedad
2020-01-06,2020-01-12,2020,2,Malaga,Social Paid,Online,2391.85,Captacion
2020-01-06,2020-01-12,2020,2,Malaga,Video Online,Online,2831.06,Performance
2020-01-06,2020-01-12,2020,2,Malaga,Display,Online,1205.65,Click&Collect
2020-01-06,2020-01-12,2020,2,Malaga,Email CRM,Online,740.9,Click&Collect
